speciesName,status,fbSpecCode,validName,class,order,family,genus,commonName,commonSpecies,Fresh,Brack,Column1
Abactochromis labrosus,accepted name,2347,Abactochromis labrosus,Teleostei,Cichliformes,Cichlidae,Abactochromis,NA,TRUE,1,0,
Abramis brama,accepted name,268,Abramis brama,Teleostei,Cypriniformes,Leuciscidae,Abramis,Freshwater bream,TRUE,1,1,
Acanthocleithron chapini,accepted name,9474,Acanthocleithron chapini,Teleostei,Siluriformes,Mochokidae,Acanthocleithron,NA,TRUE,1,0,
Acanthopagrus berda,accepted name,5526,Acanthopagrus berda,Teleostei,Eupercaria/misc,Sparidae,Acanthopagrus,Goldsilk seabream,TRUE,1,1,
Acanthopagrus vagus,accepted name,65558,Acanthopagrus vagus,Teleostei,Eupercaria/misc,Sparidae,Acanthopagrus,Wandering seabream,TRUE,1,1,
Acapoeta tanganicae,accepted name,11272,Acapoeta tanganicae,Teleostei,Cypriniformes,Cyprinidae,Acapoeta,NA,TRUE,1,0,
Acentrogobius caninus,accepted name,4894,Acentrogobius caninus,Teleostei,Gobiiformes,Gobiidae,Acentrogobius,Tropical sand goby,TRUE,1,1,
Acentrogobius nebulosus,accepted name,7228,Acentrogobius nebulosus,Teleostei,Gobiiformes,Gobiidae,Acentrogobius,Shadow goby,TRUE,1,1,
Acentrogobius simplex,accepted name,9921,Acentrogobius simplex,Teleostei,Gobiiformes,Gobiidae,Acentrogobius,Bagamoyo goby,TRUE,1,1,
Acentrogobius therezieni,accepted name,9922,Acentrogobius therezieni,Teleostei,Gobiiformes,Gobiidae,Acentrogobius,NA,TRUE,1,0,
Acentrogobius viridipunctatus,accepted name,15776,Acentrogobius viridipunctatus,Teleostei,Gobiiformes,Gobiidae,Acentrogobius,Spotted green goby,TRUE,1,1,
Acipenser sturio,accepted name,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,1,1,
Afronandus sheljuzhkoi,accepted name,9916,Afronandus sheljuzhkoi,Teleostei,Ovalentaria/misc,Polycentridae,Afronandus,Fourspine leaffish,TRUE,1,0,
Agonostomus catalai,accepted name,61407,Agonostomus catalai,Teleostei,Mugiliformes,Mugilidae,Agonostomus,Comoro mullet,TRUE,1,1,
Agonostomus telfairii,accepted name,7860,Agonostomus telfairii,Teleostei,Mugiliformes,Mugilidae,Agonostomus,Fairy mullet,TRUE,1,1,
Alburnus alburnus,accepted name,4730,Alburnus alburnus,Teleostei,Cypriniformes,Leuciscidae,Alburnus,Bleak,FALSE,1,1,
Alestes ansorgii,accepted name,66488,Alestes ansorgii,Teleostei,Characiformes,Alestidae,Alestes,NA,TRUE,1,0,
Alestes baremoze,accepted name,2405,Alestes baremoze,Teleostei,Characiformes,Alestidae,Alestes,Silversides,TRUE,1,0,
Alestes dentex,accepted name,5229,Alestes dentex,Teleostei,Characiformes,Alestidae,Alestes,Characin,TRUE,1,0,
Alestes inferus,accepted name,64866,Alestes inferus,Teleostei,Characiformes,Alestidae,Alestes,NA,TRUE,1,0,
Alestes liebrechtsii,accepted name,11092,Alestes liebrechtsii,Teleostei,Characiformes,Alestidae,Alestes,NA,TRUE,1,0,
Alestes macrophthalmus,accepted name,5230,Alestes macrophthalmus,Teleostei,Characiformes,Alestidae,Alestes,Torpedo robber,TRUE,1,0,
Alestes stuhlmannii,accepted name,11098,Alestes stuhlmannii,Teleostei,Characiformes,Alestidae,Alestes,NA,TRUE,1,0,
Alestion rapax,accepted name,69272,Alestion rapax,Teleostei,Characiformes,Alestidae,Alestion,NA,TRUE,1,0,
Alestopetersius bifasciatus,accepted name,11130,Alestopetersius bifasciatus,Teleostei,Characiformes,Alestidae,Alestopetersius,NA,TRUE,1,0,
Alestopetersius brichardi,accepted name,11105,Alestopetersius brichardi,Teleostei,Characiformes,Alestidae,Alestopetersius,NA,TRUE,1,0,
Alestopetersius caudalis,accepted name,11107,Alestopetersius caudalis,Teleostei,Characiformes,Alestidae,Alestopetersius,Yellowtail tetra,TRUE,1,0,
Alestopetersius compressus,accepted name,11108,Alestopetersius compressus,Teleostei,Characiformes,Alestidae,Alestopetersius,NA,TRUE,1,0,
Alestopetersius conspectus,accepted name,66431,Alestopetersius conspectus,Teleostei,Characiformes,Alestidae,Alestopetersius,NA,TRUE,1,0,
Alestopetersius hilgendorfi,accepted name,11109,Alestopetersius hilgendorfi,Teleostei,Characiformes,Alestidae,Alestopetersius,NA,TRUE,1,0,
Alestopetersius leopoldianus,accepted name,11110,Alestopetersius leopoldianus,Teleostei,Characiformes,Alestidae,Alestopetersius,NA,TRUE,1,0,
Alestopetersius nigropterus,accepted name,11112,Alestopetersius nigropterus,Teleostei,Characiformes,Alestidae,Alestopetersius,NA,TRUE,1,0,
Alestopetersius smykalai,accepted name,5244,Alestopetersius smykalai,Teleostei,Characiformes,Alestidae,Alestopetersius,NA,TRUE,1,0,
Alestopetersius tumbensis,accepted name,11131,Alestopetersius tumbensis,Teleostei,Characiformes,Alestidae,Alestopetersius,NA,TRUE,1,0,
Alloblennius jugularis,accepted name,6046,Alloblennius jugularis,Teleostei,Blenniiformes,Blenniidae,Alloblennius,Jugular blenny,TRUE,1,1,
Alosa algeriensis,accepted name,65105,Alosa algeriensis,Teleostei,Clupeiformes,Alosidae,Alosa,North African shad,TRUE,1,1,
Alosa alosa,accepted name,101,Alosa alosa,Teleostei,Clupeiformes,Alosidae,Alosa,Allis shad,TRUE,1,1,
Alosa fallax,accepted name,5355,Alosa fallax,Teleostei,Clupeiformes,Alosidae,Alosa,Twaite shad,TRUE,1,1,
Alticorpus geoffreyi,accepted name,62418,Alticorpus geoffreyi,Teleostei,Cichliformes,Cichlidae,Alticorpus,NA,TRUE,1,0,
Alticorpus macrocleithrum,accepted name,2191,Alticorpus macrocleithrum,Teleostei,Cichliformes,Cichlidae,Alticorpus,NA,TRUE,1,0,
Alticorpus mentale,accepted name,2192,Alticorpus mentale,Teleostei,Cichliformes,Cichlidae,Alticorpus,NA,TRUE,1,0,
Alticorpus peterdaviesi,accepted name,2194,Alticorpus peterdaviesi,Teleostei,Cichliformes,Cichlidae,Alticorpus,NA,TRUE,1,0,
Alticorpus profundicola,accepted name,2193,Alticorpus profundicola,Teleostei,Cichliformes,Cichlidae,Alticorpus,NA,TRUE,1,0,
Altolamprologus calvus,accepted name,8134,Altolamprologus calvus,Teleostei,Cichliformes,Cichlidae,Altolamprologus,NA,TRUE,1,0,
Altolamprologus compressiceps,accepted name,8135,Altolamprologus compressiceps,Teleostei,Cichliformes,Cichlidae,Altolamprologus,NA,TRUE,1,0,
Amarginops platus,accepted name,9263,Amarginops platus,Teleostei,Siluriformes,Claroteidae,Amarginops,NA,TRUE,1,0,
Amatolacypris trevelyani,accepted name,6099,Amatolacypris trevelyani,Teleostei,Cypriniformes,Cyprinidae,Amatolacypris,Border barb,TRUE,1,0,
Ambassis ambassis,accepted name,61467,Ambassis ambassis,Teleostei,Ovalentaria/misc,Ambassidae,Ambassis,Commerson's glassy,TRUE,1,1,
Ambassis dussumieri,accepted name,9899,Ambassis dussumieri,Teleostei,Ovalentaria/misc,Ambassidae,Ambassis,Malabar glassy perchlet,TRUE,1,1,
Ambassis fontoynonti,accepted name,9900,Ambassis fontoynonti,Teleostei,Ovalentaria/misc,Ambassidae,Ambassis,NA,TRUE,1,0,
Ambassis gymnocephalus,accepted name,4806,Ambassis gymnocephalus,Teleostei,Ovalentaria/misc,Ambassidae,Ambassis,Bald glassy,TRUE,1,1,
Ambassis natalensis,accepted name,8016,Ambassis natalensis,Teleostei,Ovalentaria/misc,Ambassidae,Ambassis,Slender glassy,TRUE,1,1,
Ambassis urotaenia,accepted name,9235,Ambassis urotaenia,Teleostei,Ovalentaria/misc,Ambassidae,Ambassis,Banded-tail glassy perchlet,TRUE,1,1,
Amphilius atesuensis,accepted name,2448,Amphilius atesuensis,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius athiensis,accepted name,65747,Amphilius athiensis,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius brevis,accepted name,9406,Amphilius brevis,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius chalei,accepted name,64266,Amphilius chalei,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius crassus,accepted name,68052,Amphilius crassus,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius cryptobullatus,accepted name,50994,Amphilius cryptobullatus,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius dimonikensis,accepted name,64047,Amphilius dimonikensis,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius frieli,accepted name,67859,Amphilius frieli,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius grandis,accepted name,66217,Amphilius grandis,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius jacksonii,accepted name,9407,Amphilius jacksonii,Teleostei,Siluriformes,Amphiliidae,Amphilius,Marbled mountain catfish,TRUE,1,0,
Amphilius kakrimensis,accepted name,12813,Amphilius kakrimensis,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius kivuensis,accepted name,9408,Amphilius kivuensis,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius korupi,accepted name,64050,Amphilius korupi,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius krefftii,accepted name,66218,Amphilius krefftii,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius lamani,accepted name,9409,Amphilius lamani,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius laticaudatus,accepted name,9411,Amphilius laticaudatus,Teleostei,Siluriformes,Amphiliidae,Amphilius,Broadtail mountain catfish,TRUE,1,0,
Amphilius lentiginosus,accepted name,9412,Amphilius lentiginosus,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius longirostris,accepted name,9413,Amphilius longirostris,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius lujani,accepted name,68053,Amphilius lujani,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius maesii,accepted name,9414,Amphilius maesii,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius mamonekenensis,accepted name,64051,Amphilius mamonekenensis,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius natalensis,accepted name,8381,Amphilius natalensis,Teleostei,Siluriformes,Amphiliidae,Amphilius,Natal mountain catfish,TRUE,1,0,
Amphilius nigricaudatus,accepted name,66735,Amphilius nigricaudatus,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius opisthophthalmus,accepted name,9416,Amphilius opisthophthalmus,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius pedunculus,accepted name,68049,Amphilius pedunculus,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius platychir,accepted name,2449,Amphilius platychir,Teleostei,Siluriformes,Amphiliidae,Amphilius,Mountain barbel,TRUE,1,0,
Amphilius pulcher,accepted name,9417,Amphilius pulcher,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius rheophilus,accepted name,9418,Amphilius rheophilus,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius ruziziensis,accepted name,68048,Amphilius ruziziensis,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Amphilius uranoscopus,accepted name,9419,Amphilius uranoscopus,Teleostei,Siluriformes,Amphiliidae,Amphilius,Stargazer mountain catfish,TRUE,1,0,
Amphilius zairensis,accepted name,50995,Amphilius zairensis,Teleostei,Siluriformes,Amphiliidae,Amphilius,NA,TRUE,1,0,
Ancharius fuscus,accepted name,9645,Ancharius fuscus,Teleostei,Siluriformes,Anchariidae,Ancharius,NA,TRUE,1,0,
Ancharius griseus,accepted name,62541,Ancharius griseus,Teleostei,Siluriformes,Anchariidae,Ancharius,NA,TRUE,1,0,
Andersonia leptura,accepted name,9420,Andersonia leptura,Teleostei,Siluriformes,Amphiliidae,Andersonia,NA,TRUE,1,0,
Anguilla anguilla,accepted name,35,Anguilla anguilla,Teleostei,Anguilliformes,Anguillidae,Anguilla,European eel,TRUE,1,1,
Anguilla bengalensis,accepted name,1272,Anguilla bengalensis,Teleostei,Anguilliformes,Anguillidae,Anguilla,Indian mottled eel,TRUE,1,1,
Anguilla bicolor,accepted name,1274,Anguilla bicolor,Teleostei,Anguilliformes,Anguillidae,Anguilla,Indonesian shortfin eel,TRUE,1,1,
Anguilla labiata,accepted name,1273,Anguilla labiata,Teleostei,Anguilliformes,Anguillidae,Anguilla,African mottled eel,TRUE,1,1,
Anguilla marmorata,accepted name,1275,Anguilla marmorata,Teleostei,Anguilliformes,Anguillidae,Anguilla,Giant mottled eel,TRUE,1,1,
Anguilla mossambica,accepted name,1276,Anguilla mossambica,Teleostei,Anguilliformes,Anguillidae,Anguilla,African longfin eel,TRUE,1,1,
Anguilla nebulosa,accepted name,11700,Anguilla nebulosa,Teleostei,Anguilliformes,Anguillidae,Anguilla,Mottled eel,TRUE,1,1,
Anguilla obscura,accepted name,7511,Anguilla obscura,Teleostei,Anguilliformes,Anguillidae,Anguilla,Pacific shortfinned eel,TRUE,1,1,
Anomalochromis thomasi,accepted name,8136,Anomalochromis thomasi,Teleostei,Cichliformes,Cichlidae,Anomalochromis,NA,TRUE,1,0,
Anoxypristis cuspidata,accepted name,8211,Anoxypristis cuspidata,Elasmobranchii,Rhinopristiformes,Pristidae,Anoxypristis,Pointed sawfish,TRUE,1,1,
Aphaniops dispar,accepted name,4813,Aphaniops dispar,Teleostei,Cyprinodontiformes,Aphaniidae,Aphaniops,Arabian pupfish,TRUE,1,1,
Aphanius fasciatus,accepted name,4834,Aphanius fasciatus,Teleostei,Cyprinodontiformes,Aphaniidae,Aphanius,Mediterranean banded killifish,TRUE,1,1,
Aphyosemion ahli,accepted name,9707,Aphyosemion ahli,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion amoenum,accepted name,55986,Aphyosemion amoenum,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Red-finned killi,TRUE,1,0,
Aphyosemion australe,accepted name,8770,Aphyosemion australe,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Lyretail panchax,TRUE,1,0,
Aphyosemion bamilekorum,accepted name,9711,Aphyosemion bamilekorum,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Bamileke killi,TRUE,1,0,
Aphyosemion batesii,accepted name,9712,Aphyosemion batesii,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Bates' killi,TRUE,1,0,
Aphyosemion bitaeniatum,accepted name,9713,Aphyosemion bitaeniatum,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Two-striped Aphyosemion,TRUE,1,0,
Aphyosemion bivittatum,accepted name,9714,Aphyosemion bivittatum,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Twostripe lyretail,TRUE,1,0,
Aphyosemion bualanum,accepted name,9716,Aphyosemion bualanum,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion buytaerti,accepted name,9717,Aphyosemion buytaerti,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion callipteron,accepted name,49552,Aphyosemion callipteron,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion calliurum,accepted name,9718,Aphyosemion calliurum,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Banner lyretail,TRUE,1,0,
Aphyosemion cameronense,accepted name,9719,Aphyosemion cameronense,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Cameroon killi,TRUE,1,0,
Aphyosemion campomaanense,accepted name,64894,Aphyosemion campomaanense,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion castaneum,accepted name,66275,Aphyosemion castaneum,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion caudofasciatum,accepted name,9720,Aphyosemion caudofasciatum,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Caudal-stripe killi,TRUE,1,0,
Aphyosemion celiae,accepted name,9723,Aphyosemion celiae,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion chauchei,accepted name,9722,Aphyosemion chauchei,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion christyi,accepted name,9724,Aphyosemion christyi,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Christy's Lyretail,TRUE,1,0,
Aphyosemion coeleste,accepted name,9727,Aphyosemion coeleste,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Sky-blue killi,TRUE,1,0,
Aphyosemion cognatum,accepted name,9728,Aphyosemion cognatum,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Redspot panchax,TRUE,1,0,
Aphyosemion congicum,accepted name,9729,Aphyosemion congicum,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Congo killi,TRUE,1,0,
Aphyosemion cryptum,accepted name,69594,Aphyosemion cryptum,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion cyanoflavum,accepted name,69592,Aphyosemion cyanoflavum,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion cyanostictum,accepted name,9815,Aphyosemion cyanostictum,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Gabon jewelfish,TRUE,1,0,
Aphyosemion dargei,accepted name,49475,Aphyosemion dargei,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Mbam killi,TRUE,1,0,
Aphyosemion decorsei,accepted name,9730,Aphyosemion decorsei,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion ecucuense,accepted name,64222,Aphyosemion ecucuense,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion edeanum,accepted name,49478,Aphyosemion edeanum,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Edea killi,TRUE,1,0,
Aphyosemion elberti,accepted name,54027,Aphyosemion elberti,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Red barred killi,TRUE,1,0,
Aphyosemion elegans,accepted name,9731,Aphyosemion elegans,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Elegant killi,TRUE,1,0,
Aphyosemion erythron,accepted name,64224,Aphyosemion erythron,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion escherichi,accepted name,9760,Aphyosemion escherichi,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Escherich's killi,TRUE,1,0,
Aphyosemion exiguum,accepted name,9734,Aphyosemion exiguum,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Jewel killi,TRUE,1,0,
Aphyosemion fellmanni,accepted name,68941,Aphyosemion fellmanni,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion ferranti,accepted name,9735,Aphyosemion ferranti,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion franzwerneri,accepted name,9737,Aphyosemion franzwerneri,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Goby killi,TRUE,1,0,
Aphyosemion heinemanni,accepted name,9744,Aphyosemion heinemanni,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Heinemann's killi,TRUE,1,0,
Aphyosemion herzogi,accepted name,9745,Aphyosemion herzogi,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Herzog's killi,TRUE,1,0,
Aphyosemion jeanhuberi,accepted name,68432,Aphyosemion jeanhuberi,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion koungueense,accepted name,64055,Aphyosemion koungueense,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion labarrei,accepted name,9750,Aphyosemion labarrei,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion lefiniense,accepted name,49700,Aphyosemion lefiniense,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion lividum,accepted name,64575,Aphyosemion lividum,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion loennbergii,accepted name,9753,Aphyosemion loennbergii,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion louessense,accepted name,9754,Aphyosemion louessense,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion lugens,accepted name,49481,Aphyosemion lugens,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion lujae,accepted name,9755,Aphyosemion lujae,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion malumbresi,accepted name,64576,Aphyosemion malumbresi,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion mandoroense,accepted name,69593,Aphyosemion mandoroense,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion melanogaster,accepted name,62951,Aphyosemion melanogaster,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion melinoeides,accepted name,64057,Aphyosemion melinoeides,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion musafirii,accepted name,66073,Aphyosemion musafirii,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion ocellatum,accepted name,9773,Aphyosemion ocellatum,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion ogoense,accepted name,9775,Aphyosemion ogoense,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion omega,accepted name,64056,Aphyosemion omega,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion pamaense,accepted name,67086,Aphyosemion pamaense,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion pascheni,accepted name,9776,Aphyosemion pascheni,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion poliaki,accepted name,49719,Aphyosemion poliaki,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion polli,accepted name,49482,Aphyosemion polli,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion pseudoelegans,accepted name,66733,Aphyosemion pseudoelegans,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion punctatum,accepted name,9779,Aphyosemion punctatum,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion punctulatum,accepted name,62950,Aphyosemion punctulatum,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion raddai,accepted name,9782,Aphyosemion raddai,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion riggenbachi,accepted name,9785,Aphyosemion riggenbachi,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion schioetzi,accepted name,9790,Aphyosemion schioetzi,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion schluppi,accepted name,9791,Aphyosemion schluppi,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion schoutedeni,accepted name,66489,Aphyosemion schoutedeni,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion seegersi,accepted name,9820,Aphyosemion seegersi,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion splendopleure,accepted name,9793,Aphyosemion splendopleure,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion striatum,accepted name,9795,Aphyosemion striatum,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion teugelsi,accepted name,65872,Aphyosemion teugelsi,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion thysi,accepted name,9796,Aphyosemion thysi,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion trilineatus,accepted name,9798,Aphyosemion trilineatus,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion volcanum,accepted name,9801,Aphyosemion volcanum,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion wachtersi,accepted name,9802,Aphyosemion wachtersi,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion wildekampi,accepted name,9809,Aphyosemion wildekampi,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aphyosemion zygaima,accepted name,9812,Aphyosemion zygaima,Teleostei,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,NA,TRUE,1,0,
Aplocheilichthys spilauchen,accepted name,2465,Aplocheilichthys spilauchen,Teleostei,Cyprinodontiformes,Procatopodidae,Aplocheilichthys,Banded lampeye,TRUE,1,1,
Apricaphanius iberus,accepted name,4876,Apricaphanius iberus,Teleostei,Cyprinodontiformes,Aphaniidae,Apricaphanius,Spanish toothcarp,TRUE,1,1,
Apricaphanius saourensis,accepted name,62763,Apricaphanius saourensis,Teleostei,Cyprinodontiformes,Aphaniidae,Apricaphanius,Sahara aphanius,TRUE,1,0,
Archiaphyosemion guineense,accepted name,9742,Archiaphyosemion guineense,Teleostei,Cyprinodontiformes,Nothobranchiidae,Archiaphyosemion,Guinean killi,TRUE,1,0,
Argyrosomus hololepidotus,accepted name,419,Argyrosomus hololepidotus,Teleostei,Eupercaria/misc,Sciaenidae,Argyrosomus,Southern meagre,TRUE,1,1,
